Category: All categories

Week,empresas sem ia: (Brazil),empresas ia: (Brazil),ia para empresas: (Brazil)
2024-09-15,0,34,16
2024-09-22,0,36,20
2024-09-29,0,43,24
2024-10-06,0,33,17
2024-10-13,0,39,18
2024-10-20,0,40,20
2024-10-27,0,44,26
2024-11-03,0,34,17
2024-11-10,0,34,16
2024-11-17,0,42,23
2024-11-24,0,38,23
2024-12-01,0,50,25
2024-12-08,0,32,17
2024-12-15,0,30,13
2024-12-22,0,24,12
2024-12-29,0,19,18
2025-01-05,0,33,17
2025-01-12,0,26,11
2025-01-19,0,32,13
2025-01-26,0,58,18
2025-02-02,0,39,18
2025-02-09,0,43,20
2025-02-16,0,44,27
2025-02-23,0,36,22
2025-03-02,0,38,18
2025-03-09,0,42,23
2025-03-16,0,57,27
2025-03-23,0,62,28
2025-03-30,0,60,31
2025-04-06,0,53,24
2025-04-13,0,45,19
2025-04-20,0,47,23
2025-04-27,0,46,28
2025-05-04,0,41,23
2025-05-11,0,49,22
2025-05-18,0,60,35
2025-05-25,0,53,28
2025-06-01,0,79,40
2025-06-08,12,100,60
2025-06-15,19,75,47
2025-06-22,0,72,44
2025-06-29,0,69,34
2025-07-06,0,65,37
2025-07-13,0,68,28
2025-07-20,10,50,30
2025-07-27,0,64,33
2025-08-03,12,81,49
2025-08-10,12,82,53
2025-08-17,21,88,57
2025-08-24,22,80,49
2025-08-31,16,72,47
2025-09-07,15,81,49
2025-09-14,0,40,21
